ideology,political_affiliation,race_white,hispanic,gender,income,age,bio,count
slightly conservative,am a weak Republican,white,Hispanic,female,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am old. ",1
slightly conservative,am a weak Republican,white,Hispanic,female,middle-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",1
slightly conservative,am a weak Republican,white,,male,upper-class,very old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am upper-class. In terms of my age, I am very old. ",1
slightly liberal,am a strong Democrat,white,,female,poor,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ",1
slightly liberal,am a strong Democrat,white,,female,poor,old,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am female. Financially, I am poor. In terms of my age, I am old. ",1
slightly conservative,lean towards Rebublicans,white,,male,upper-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am upper-class. In terms of my age, I am old. ",1
slightly conservative,am an independent,white,,female,poor,old,"Ideologically, I describe myself as slightly conservative. Politically, I am an independent. I am female. Financially, I am poor. In terms of my age, I am old. ",1
slightly conservative,lean towards Rebublicans,white,,male,middle-class,young,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am middle-class. In terms of my age, I am young. ",1
slightly conservative,lean towards Democrats,white,,male,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am old. ",1
slightly conservative,lean towards Rebublicans,white,,female,poor,young,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am poor. In terms of my age, I am young. ",1
slightly conservative,lean towards Democrats,white,,male,upper-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Democrats. I am male. Financially, I am upper-class. In terms of my age, I am middle-aged. ",1
slightly conservative,lean towards Democrats,white,,male,poor,very old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Democrats. I am male. Financially, I am poor. In terms of my age, I am very old. ",1
slightly conservative,lean towards Democrats,white,,male,middle-class,very old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am very old. ",1
slightly conservative,lean towards Rebublicans,white,,female,upper-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. ",1
slightly conservative,lean towards Rebublicans,white,,female,very poor,young,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am very poor. In terms of my age, I am young. ",1
slightly conservative,lean towards Rebublicans,white,,male,,old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am male. In terms of my age, I am old. ",1
slightly conservative,am an independent,white,,female,upper-class,young,"Ideologically, I describe myself as slightly conservative. Politically, I am an independent. I am female. Financially, I am upper-class. In terms of my age, I am young. ",1
slightly conservative,lean towards Rebublicans,white,,male,,very old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am male. In terms of my age, I am very old. ",1
slightly conservative,lean towards Democrats,white,,female,poor,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Democrats. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ",1
slightly conservative,lean towards Democrats,white,,female,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am old. ",1
slightly conservative,am an independent,white,,male,poor,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am an independent. I am male. Financially, I am poor. In terms of my age, I am middle-aged. ",1
slightly conservative,am an independent,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am an independent. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",1
slightly conservative,am an independent,white,,male,,old,"Ideologically, I describe myself as slightly conservative. Politically, I am an independent. I am male. In terms of my age, I am old. ",1
slightly conservative,am a weak Republican,white,,male,poor,very old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am poor. In terms of my age, I am very old. ",1
slightly conservative,am a weak Republican,white,,female,upper-class,young,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am female. Financially, I am upper-class. In terms of my age, I am young. ",1
moderate,lean towards Rebublicans,white,,male,,very old,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am male. In terms of my age, I am very old. ",1
slightly liberal,am a strong Democrat,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",1
slightly conservative,am a weak Democrat,,Hispanic,female,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am old. ",1
slightly conservative,am a strong Republican,white,,male,upper-class,very old,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Republican. I am male. Financially, I am upper-class. In terms of my age, I am very old. ",1
slightly conservative,am a strong Republican,white,,male,upper-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Republican. I am male. Financially, I am upper-class. In terms of my age, I am old. ",1
moderate,am an independent,white,Hispanic,female,poor,young,"Ideologically, I describe myself as moderate. Politically, I am an independent. Racially, I am Hispanic. I am female. Financially, I am poor. In terms of my age, I am young. ",1
slightly conservative,am a strong Republican,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",1
slightly conservative,am a strong Republican,white,,female,poor,young,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Republican. I am female. Financially, I am poor. In terms of my age, I am young. ",1
slightly conservative,am a strong Democrat,white,Hispanic,female,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Democrat. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am old. ",1
slightly conservative,am a strong Democrat,white,,male,poor,very old,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Democrat. I am male. Financially, I am poor. In terms of my age, I am very old. ",1
slightly conservative,am a strong Democrat,white,,female,poor,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Democrat. I am female. Financially, I am poor. In terms of my age, I am old. ",1
slightly conservative,am a strong Democrat,,Hispanic,male,middle-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Democrat. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",1
moderate,lean towards Rebublicans,white,,male,upper-class,young,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am male. Financially, I am upper-class. In terms of my age, I am young. ",1
moderate,lean towards Rebublicans,white,,male,upper-class,very old,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am male. Financially, I am upper-class. In terms of my age, I am very old. ",1
slightly liberal,am a weak Democrat,white,,male,poor,very old,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am male. Financially, I am poor. In terms of my age, I am very old. ",1
slightly liberal,am a weak Democrat,white,,male,poor,young,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am male. Financially, I am poor. In terms of my age, I am young. ",1
moderate,lean towards Rebublicans,white,,male,,young,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am male. In terms of my age, I am young. ",1
slightly conservative,am a weak Democrat,,Hispanic,female,poor,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. Racially, I am Hispanic. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ",1
slightly liberal,am a weak Democrat,white,,male,middle-class,young,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am young. ",1
slightly conservative,am a weak Democrat,white,,female,middle-class,very old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am very old. ",1
slightly liberal,am a weak Democrat,white,,female,,young,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. In terms of my age, I am young. ",1
slightly liberal,am a strong Democrat,white,,male,upper-class,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am male. Financially, I am upper-class. In terms of my age, I am middle-aged. ",1
slightly liberal,am a strong Democrat,white,,male,very poor,old,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am male. Financially, I am very poor. In terms of my age, I am old. ",1
slightly liberal,am a strong Democrat,white,Hispanic,female,middle-class,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",1
slightly liberal,am a strong Republican,white,,male,poor,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Republican. I am male. Financially, I am poor. In terms of my age, I am middle-aged. ",1
slightly liberal,am a strong Republican,white,,male,poor,young,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Republican. I am male. Financially, I am poor. In terms of my age, I am young. ",1
slightly liberal,am a weak Democrat,white,,female,,old,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. In terms of my age, I am old. ",1
slightly liberal,am a weak Democrat,white,,female,poor,very old,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am poor. In terms of my age, I am very old. ",1
slightly conservative,am a weak Democrat,white,,female,upper-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. ",1
slightly conservative,am a weak Democrat,white,Hispanic,male,poor,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. Racially, I am Hispanic. I am male. Financially, I am poor. In terms of my age, I am middle-aged. ",1
slightly liberal,am a weak Democrat,white,,female,very poor,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am very poor. In terms of my age, I am middle-aged. ",1
slightly conservative,am a weak Democrat,white,Hispanic,female,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am old. ",1
slightly liberal,am a weak Democrat,white,,male,,very old,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am male. In terms of my age, I am very old. ",1
slightly conservative,am a weak Democrat,white,,male,middle-class,young,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am young. ",1
slightly conservative,am a weak Democrat,white,,male,,very old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. I am male. In terms of my age, I am very old. ",1
conservative,am a strong Democrat,white,,female,middle-class,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Democrat. I am female. Financially, I am middle-class. In terms of my age, I am old. ",1
moderate,am a strong Democrat,white,Hispanic,male,middle-class,very old,"Ideologically, I describe myself as moderate. Politically, I am a strong Democrat. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am very old. ",1
moderate,am an independent,white,Hispanic,female,middle-class,young,"Ideologically, I describe myself as moderate. Politically, I am an independent. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am young. ",1
extremely conservative,am a weak Republican,white,,male,poor,middle-aged,"Ideologically, I describe myself as extremely conservative. Politically, I am a weak Republican. I am male. Financially, I am poor. In terms of my age, I am middle-aged. ",1
extremely liberal,am a strong Democrat,white,,female,very poor,young,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am female. Financially, I am very poor. In terms of my age, I am young. ",1
extremely liberal,am a strong Democrat,white,,female,upper-class,very old,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am female. Financially, I am upper-class. In terms of my age, I am very old. ",1
extremely liberal,am a strong Democrat,white,,female,poor,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ",1
extremely liberal,am a strong Democrat,white,,female,middle-class,very old,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am female. Financially, I am middle-class. In terms of my age, I am very old. ",1
extremely liberal,am a strong Democrat,,Hispanic,male,middle-class,young,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am young. ",1
extremely liberal,am a strong Democrat,,Hispanic,female,middle-class,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",1
extremely conservative,lean towards Rebublicans,white,,female,very poor,old,"Ideologically, I describe myself as extremely conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am very poor. In terms of my age, I am old. ",1
extremely conservative,lean towards Rebublicans,white,,female,poor,old,"Ideologically, I describe myself as extremely conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am poor. In terms of my age, I am old. ",1
extremely conservative,lean towards Rebublicans,white,,female,middle-class,young,"Ideologically, I describe myself as extremely conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am middle-class. In terms of my age, I am young. ",1
extremely conservative,am an independent,white,,male,middle-class,old,"Ideologically, I describe myself as extremely conservative. Politically, I am an independent. I am male. Financially, I am middle-class. In terms of my age, I am old. ",1
extremely conservative,am a weak Republican,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as extremely conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",1
moderate,am an independent,white,,male,upper-class,young,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am upper-class. In terms of my age, I am young. ",1
extremely conservative,am a weak Republican,white,,female,middle-class,old,"Ideologically, I describe myself as extremely conservative. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am old. ",1
extremely conservative,am a weak Republican,white,,female,,old,"Ideologically, I describe myself as extremely conservative. Politically, I am a weak Republican. I am female. In terms of my age, I am old. ",1
extremely conservative,am a weak Republican,white,,female,,middle-aged,"Ideologically, I describe myself as extremely conservative. Politically, I am a weak Republican. I am female. In terms of my age, I am middle-aged. ",1
extremely conservative,am a strong Republican,white,Hispanic,male,very poor,young,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. Racially, I am Hispanic. I am male. Financially, I am very poor. In terms of my age, I am young. ",1
extremely conservative,am a strong Republican,white,Hispanic,female,poor,old,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. Racially, I am Hispanic. I am female. Financially, I am poor. In terms of my age, I am old. ",1
extremely conservative,am a strong Republican,white,Hispanic,female,middle-class,middle-aged,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",1
extremely conservative,am a strong Republican,white,,male,upper-class,very old,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am male. Financially, I am upper-class. In terms of my age, I am very old. ",1
extremely conservative,am a strong Republican,white,,male,upper-class,middle-aged,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am male. Financially, I am upper-class. In terms of my age, I am middle-aged. ",1
extremely conservative,am a strong Republican,white,,male,poor,middle-aged,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am male. Financially, I am poor. In terms of my age, I am middle-aged. ",1
extremely conservative,am a strong Republican,white,,male,middle-class,young,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am young. ",1
extremely liberal,am a strong Democrat,white,,male,upper-class,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am male. Financially, I am upper-class. In terms of my age, I am middle-aged. ",1
extremely liberal,am a strong Democrat,white,,male,very poor,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am male. Financially, I am very poor. In terms of my age, I am middle-aged. ",1
extremely liberal,am a strong Democrat,white,,male,very poor,young,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am male. Financially, I am very poor. In terms of my age, I am young. ",1
extremely liberal,am a strong Democrat,white,Hispanic,female,middle-class,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",1
extremely liberal,lean towards Democrats,white,,female,very poor,young,"Ideologically, I describe myself as extremely liberal. Politically, I lean towards Democrats. I am female. Financially, I am very poor. In terms of my age, I am young. ",1
extremely liberal,lean towards Democrats,white,,female,upper-class,old,"Ideologically, I describe myself as extremely liberal. Politically, I lean towards Democrats. I am female. Financially, I am upper-class. In terms of my age, I am old. ",1
extremely liberal,lean towards Democrats,white,,female,middle-class,young,"Ideologically, I describe myself as extremely liberal. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am young. ",1
extremely liberal,lean towards Democrats,white,,female,middle-class,old,"Ideologically, I describe myself as extremely liberal. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am old. ",1
extremely liberal,am an independent,white,,male,middle-class,old,"Ideologically, I describe myself as extremely liberal. Politically, I am an independent. I am male. Financially, I am middle-class. In terms of my age, I am old. ",1
extremely liberal,am an independent,white,,female,very poor,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am an independent. I am female. Financially, I am very poor. In terms of my age, I am middle-aged. ",1
extremely liberal,am an independent,,Hispanic,male,poor,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am an independent. Racially, I am Hispanic. I am male. Financially, I am poor. In terms of my age, I am middle-aged. ",1
extremely liberal,am a weak Democrat,white,,male,middle-class,young,"Ideologically, I describe myself as extremely liberal. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am young. ",1
extremely liberal,am a weak Democrat,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",1
extremely liberal,am a weak Democrat,white,,female,very poor,old,"Ideologically, I describe myself as extremely liberal. Politically, I am a weak Democrat. I am female. Financially, I am very poor. In terms of my age, I am old. ",1
extremely liberal,am a weak Democrat,white,,female,upper-class,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a weak Democrat. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. ",1
extremely liberal,am a weak Democrat,white,,female,poor,young,"Ideologically, I describe myself as extremely liberal. Politically, I am a weak Democrat. I am female. Financially, I am poor. In terms of my age, I am young. ",1
extremely liberal,am a weak Democrat,white,,female,poor,old,"Ideologically, I describe myself as extremely liberal. Politically, I am a weak Democrat. I am female. Financially, I am poor. In terms of my age, I am old. ",1
extremely liberal,am a weak Democrat,white,,female,middle-class,old,"Ideologically, I describe myself as extremely liberal. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am old. ",1
extremely liberal,am a strong Democrat,white,Hispanic,male,upper-class,old,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am male. Financially, I am upper-class. In terms of my age, I am old. ",1
extremely liberal,am a strong Democrat,white,Hispanic,male,upper-class,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am male. Financially, I am upper-class. In terms of my age, I am middle-aged. ",1
extremely liberal,am a strong Democrat,white,Hispanic,male,middle-class,young,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am young. ",1
extremely liberal,am a strong Democrat,white,Hispanic,male,middle-class,very old,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am very old. ",1
extremely liberal,am a strong Democrat,white,Hispanic,female,upper-class,young,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am female. Financially, I am upper-class. In terms of my age, I am young. ",1
extremely liberal,am a strong Democrat,white,Hispanic,female,poor,young,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am female. Financially, I am poor. In terms of my age, I am young. ",1
extremely liberal,am a strong Democrat,white,Hispanic,female,middle-class,old,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. Racially, I am Hispanic. I am female. Financially, I am middle-class. In terms of my age, I am old. ",1
extremely conservative,am a strong Republican,white,,male,,old,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am male. In terms of my age, I am old. ",1
extremely conservative,am a strong Republican,white,,female,very poor,young,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am female. Financially, I am very poor. In terms of my age, I am young. ",1
extremely conservative,am a strong Republican,white,,female,upper-class,young,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am female. Financially, I am upper-class. In terms of my age, I am young. ",1
conservative,am a weak Republican,white,,male,poor,young,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am male. Financially, I am poor. In terms of my age, I am young. ",1
conservative,am a weak Republican,white,,male,,very old,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am male. In terms of my age, I am very old. ",1
conservative,am a weak Republican,white,,female,very poor,very old,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am very poor. In terms of my age, I am very old. ",1
conservative,am a weak Republican,white,,female,upper-class,young,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am upper-class. In terms of my age, I am young. ",1
conservative,am a weak Republican,white,,female,poor,very old,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am poor. In terms of my age, I am very old. ",1
conservative,am a weak Republican,white,,female,poor,old,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am poor. In terms of my age, I am old. ",1
conservative,am a weak Republican,white,,female,poor,middle-aged,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ",1
conservative,am a weak Republican,white,,female,middle-class,young,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am young. ",1
conservative,am a weak Republican,white,,female,middle-class,very old,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am very old. ",1
conservative,am a weak Republican,white,,female,,old,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. In terms of my age, I am old. ",1
conservative,am a weak Republican,,Hispanic,male,poor,old,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. Racially, I am Hispanic. I am male. Financially, I am poor. In terms of my age, I am old. ",1
conservative,am a weak Democrat,white,,male,middle-class,young,"Ideologically, I describe myself as conservative. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am young. ",1
conservative,am a weak Democrat,white,,female,middle-class,young,"Ideologically, I describe myself as conservative. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am young. ",1
conservative,am a strong Republican,white,Hispanic,male,poor,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. Racially, I am Hispanic. I am male. Financially, I am poor. In terms of my age, I am old. ",1
conservative,am a strong Republican,white,,male,poor,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am poor. In terms of my age, I am old. ",1
conservative,am a strong Republican,white,,male,,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. In terms of my age, I am old. ",1
conservative,am a strong Republican,white,,female,very poor,young,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am very poor. In terms of my age, I am young. ",1
conservative,am a strong Republican,white,,female,very poor,middle-aged,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am very poor. In terms of my age, I am middle-aged. ",1
conservative,am a strong Republican,white,,female,upper-class,very old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am upper-class. In terms of my age, I am very old. ",1
conservative,am a strong Republican,white,,female,poor,young,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am poor. In terms of my age, I am young. ",1
conservative,am a strong Republican,,Hispanic,male,middle-class,young,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am young. ",1
conservative,am a strong Democrat,white,,male,poor,middle-aged,"Ideologically, I describe myself as conservative. Politically, I am a strong Democrat. I am male. Financially, I am poor. In terms of my age, I am middle-aged. ",1
conservative,am a weak Republican,white,,male,middle-class,young,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am young. ",1
conservative,am a weak Republican,white,Hispanic,female,poor,old,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. Racially, I am Hispanic. I am female. Financially, I am poor. In terms of my age, I am old. ",1
extremely conservative,am a strong Republican,white,,female,poor,very old,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am female. Financially, I am poor. In terms of my age, I am very old. ",1
conservative,am a weak Republican,white,Hispanic,male,middle-class,middle-aged,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",1
extremely conservative,am a strong Republican,white,,female,poor,old,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am female. Financially, I am poor. In terms of my age, I am old. ",1
extremely conservative,am a strong Republican,,Hispanic,male,very poor,young,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. Racially, I am Hispanic. I am male. Financially, I am very poor. In terms of my age, I am young. ",1
extremely conservative,am a strong Republican,,Hispanic,male,middle-class,middle-aged,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",1
extremely conservative,am a strong Democrat,white,,female,very poor,middle-aged,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Democrat. I am female. Financially, I am very poor. In terms of my age, I am middle-aged. ",1
conservative,lean towards Rebublicans,white,,male,upper-class,old,"Ideologically, I describe myself as conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am upper-class. In terms of my age, I am old. ",1
conservative,lean towards Rebublicans,white,,male,poor,middle-aged,"Ideologically, I describe myself as conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am poor. In terms of my age, I am middle-aged. ",1
conservative,lean towards Rebublicans,white,,female,very poor,old,"Ideologically, I describe myself as conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am very poor. In terms of my age, I am old. ",1
conservative,lean towards Rebublicans,white,,female,upper-class,middle-aged,"Ideologically, I describe myself as conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. ",1
conservative,lean towards Rebublicans,white,,female,middle-class,very old,"Ideologically, I describe myself as conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am middle-class. In terms of my age, I am very old. ",1
conservative,lean towards Rebublicans,white,,female,middle-class,old,"Ideologically, I describe myself as conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am middle-class. In terms of my age, I am old. ",1
